CMDLINE /anaconda/bin/python csnn_pc_mnist.py
MEM 287.355469 1498112237.0920
MEM 288.929688 1498112237.2057
MEM 290.433594 1498112237.3163
MEM 292.019531 1498112237.4309
MEM 293.613281 1498112237.5453
MEM 295.179688 1498112237.6576
MEM 296.710938 1498112237.7681
MEM 298.207031 1498112237.8790
MEM 299.800781 1498112237.9930
MEM 301.320312 1498112238.1029
MEM 368.316406 1498112238.2174
MEM 483.027344 1498112238.3283
MEM 495.476562 1498112238.4385
MEM 508.281250 1498112238.5525
MEM 520.695312 1498112238.6637
MEM 173.980469 1498112238.7758
MEM 175.320312 1498112238.8898
MEM 176.359375 1498112239.0008
MEM 178.125000 1498112239.1148
MEM 188.445312 1498112239.2318
MEM 213.429688 1498112239.3438
MEM 216.308594 1498112239.4566
MEM 217.640625 1498112239.5671
MEM 218.375000 1498112239.6773
MEM 219.058594 1498112239.7866
MEM 219.683594 1498112239.8967
MEM 220.539062 1498112240.0100
MEM 221.585938 1498112240.1206
MEM 222.578125 1498112240.2354
MEM 223.699219 1498112240.3489
MEM 224.917969 1498112240.4635
MEM 225.687500 1498112240.5753
MEM 227.292969 1498112240.6871
MEM 228.917969 1498112240.7975
MEM 229.691406 1498112240.9114
MEM 236.703125 1498112241.0276
MEM 243.500000 1498112241.1415
MEM 255.062500 1498112241.2542
MEM 283.570312 1498112241.3686
MEM 311.960938 1498112241.4835
MEM 314.082031 1498112241.5969
MEM 321.402344 1498112241.7073
MEM 321.445312 1498112241.8230
MEM 332.351562 1498112241.9361
MEM 333.433594 1498112242.0495
MEM 361.453125 1498112242.1622
MEM 360.324219 1498112242.2761
MEM 365.480469 1498112242.3871
MEM 378.820312 1498112242.4968
MEM 384.121094 1498112242.6113
MEM 386.226562 1498112242.7264
MEM 375.070312 1498112242.8394
MEM 382.925781 1498112242.9519
MEM 384.039062 1498112243.0630
MEM 383.093750 1498112243.1809
MEM 383.332031 1498112243.2957
MEM 394.359375 1498112243.4061
MEM 391.546875 1498112243.5162
MEM 394.730469 1498112243.6326
MEM 394.171875 1498112243.7442
MEM 397.269531 1498112243.8548
MEM 397.273438 1498112243.9691
MEM 397.273438 1498112244.0794
MEM 397.941406 1498112244.1941
MEM 399.539062 1498112244.3062
MEM 399.550781 1498112244.4198
MEM 399.550781 1498112244.5337
MEM 399.550781 1498112244.6455
MEM 399.585938 1498112244.7583
MEM 399.585938 1498112244.8691
MEM 399.589844 1498112244.9809
MEM 400.511719 1498112245.0922
MEM 400.015625 1498112245.2029
MEM 401.429688 1498112245.3132
MEM 401.433594 1498112245.4242
MEM 401.437500 1498112245.5367
MEM 401.437500 1498112245.6519
MEM 401.437500 1498112245.7675
MEM 401.449219 1498112245.8789
MEM 401.449219 1498112245.9891
MEM 401.449219 1498112246.0995
MEM 401.449219 1498112246.2141
MEM 402.445312 1498112246.3262
MEM 401.496094 1498112246.4413
MEM 402.453125 1498112246.5612
MEM 403.187500 1498112246.6745
MEM 403.187500 1498112246.7891
MEM 403.191406 1498112246.9031
MEM 403.636719 1498112247.0131
MEM 403.636719 1498112247.1255
MEM 403.636719 1498112247.2348
MEM 403.648438 1498112247.3448
MEM 404.726562 1498112247.4585
MEM 403.824219 1498112247.5697
MEM 403.824219 1498112247.6841
MEM 403.824219 1498112247.7986
MEM 403.828125 1498112247.9106
MEM 403.867188 1498112248.0258
MEM 403.867188 1498112248.1402
MEM 403.867188 1498112248.2510
MEM 403.867188 1498112248.3622
MEM 404.835938 1498112248.4767
MEM 403.882812 1498112248.5892
MEM 403.886719 1498112248.7036
MEM 403.886719 1498112248.8164
MEM 405.304688 1498112248.9267
MEM 405.308594 1498112249.0412
MEM 404.683594 1498112249.1565
MEM 404.687500 1498112249.2664
MEM 405.656250 1498112249.3782
MEM 404.699219 1498112249.4880
MEM 404.710938 1498112249.5998
MEM 404.710938 1498112249.7119
MEM 404.742188 1498112249.8269
MEM 404.746094 1498112249.9370
MEM 404.746094 1498112250.0491
MEM 404.746094 1498112250.1617
MEM 404.746094 1498112250.2753
MEM 404.746094 1498112250.3856
MEM 404.750000 1498112250.4994
MEM 405.671875 1498112250.6138
MEM 404.753906 1498112250.7291
MEM 404.753906 1498112250.8432
MEM 404.757812 1498112250.9567
MEM 404.761719 1498112251.0672
MEM 404.761719 1498112251.1792
MEM 404.761719 1498112251.2885
MEM 404.761719 1498112251.3986
MEM 404.761719 1498112251.5088
MEM 404.765625 1498112251.6231
MEM 404.808594 1498112251.7378
MEM 404.812500 1498112251.8516
MEM 405.992188 1498112251.9659
MEM 404.816406 1498112252.0768
MEM 404.820312 1498112252.1865
MEM 404.820312 1498112252.2975
MEM 404.824219 1498112252.4113
MEM 404.824219 1498112252.5264
MEM 404.824219 1498112252.6398
MEM 404.835938 1498112252.7499
MEM 404.835938 1498112252.8637
MEM 404.843750 1498112252.9787
MEM 404.843750 1498112253.0933
MEM 404.867188 1498112253.2048
MEM 404.867188 1498112253.3143
MEM 405.433594 1498112253.4251
MEM 405.433594 1498112253.5355
MEM 405.437500 1498112253.6485
MEM 405.437500 1498112253.7632
MEM 406.558594 1498112253.8729
MEM 405.445312 1498112253.9821
MEM 405.445312 1498112254.0948
MEM 405.710938 1498112254.2082
MEM 405.710938 1498112254.3221
MEM 405.714844 1498112254.4337
MEM 405.714844 1498112254.5503
MEM 406.710938 1498112254.6652
MEM 405.753906 1498112254.7787
MEM 405.757812 1498112254.8911
MEM 406.613281 1498112255.0048
MEM 406.617188 1498112255.1159
MEM 406.621094 1498112255.2266
MEM 406.625000 1498112255.3427
MEM 406.625000 1498112255.4633
MEM 406.628906 1498112255.5761
MEM 406.628906 1498112255.6906
MEM 406.636719 1498112255.8085
MEM 406.636719 1498112255.9306
MEM 406.636719 1498112256.0474
MEM 406.636719 1498112256.1600
MEM 410.121094 1498112256.2698
MEM 410.144531 1498112256.3843
MEM 410.152344 1498112256.4962
MEM 410.152344 1498112256.6081
MEM 410.152344 1498112256.7182
MEM 410.152344 1498112256.8303
MEM 410.152344 1498112256.9418
MEM 410.152344 1498112257.0563
MEM 410.156250 1498112257.1673
MEM 410.156250 1498112257.2817
MEM 410.156250 1498112257.3935
MEM 410.156250 1498112257.5035
MEM 411.074219 1498112257.6148
MEM 410.175781 1498112257.7293
MEM 410.175781 1498112257.8394
MEM 410.175781 1498112257.9538
MEM 410.175781 1498112258.0666
MEM 410.195312 1498112258.1800
MEM 410.199219 1498112258.2948
MEM 410.199219 1498112258.4039
MEM 410.199219 1498112258.5180
MEM 410.199219 1498112258.6325
MEM 410.210938 1498112258.7447
MEM 410.210938 1498112258.8586
MEM 410.210938 1498112258.9692
MEM 410.230469 1498112259.0827
MEM 411.164062 1498112259.1952
MEM 410.230469 1498112259.3103
MEM 410.230469 1498112259.4248
MEM 410.496094 1498112259.5345
MEM 410.496094 1498112259.6487
MEM 410.496094 1498112259.7626
MEM 410.496094 1498112259.8771
MEM 410.496094 1498112259.9912
MEM 410.496094 1498112260.1016
MEM 410.496094 1498112260.2136
MEM 410.496094 1498112260.3260
MEM 410.496094 1498112260.4404
MEM 410.496094 1498112260.5532
MEM 410.496094 1498112260.6809
MEM 410.496094 1498112260.7932
MEM 410.496094 1498112260.9054
MEM 410.496094 1498112261.0174
MEM 410.496094 1498112261.1299
MEM 410.496094 1498112261.2437
MEM 410.496094 1498112261.3579
MEM 411.453125 1498112261.4749
MEM 410.496094 1498112261.5852
MEM 410.496094 1498112261.6977
MEM 410.496094 1498112261.8098
MEM 410.496094 1498112261.9225
MEM 410.496094 1498112262.0343
MEM 410.496094 1498112262.1452
MEM 410.496094 1498112262.2581
MEM 410.496094 1498112262.3727
MEM 410.496094 1498112262.4857
MEM 411.453125 1498112262.5998
MEM 410.496094 1498112262.7137
MEM 410.496094 1498112262.8272
MEM 410.496094 1498112262.9400
MEM 412.527344 1498112263.0567
MEM 413.015625 1498112263.1693
MEM 412.527344 1498112263.2838
MEM 412.527344 1498112263.3982
MEM 412.683594 1498112263.5119
MEM 412.683594 1498112263.6225
MEM 412.683594 1498112263.7321
MEM 412.683594 1498112263.8433
MEM 412.683594 1498112263.9541
MEM 412.683594 1498112264.1064
MEM 412.683594 1498112264.2421
MEM 413.515625 1498112264.3598
MEM 413.515625 1498112264.4957
MEM 413.515625 1498112264.6336
MEM 413.515625 1498112264.7529
MEM 413.515625 1498112264.8692
MEM 414.433594 1498112264.9825
MEM 415.339844 1498112265.1735
MEM 415.339844 1498112265.3045
MEM 415.339844 1498112265.4502
MEM 415.339844 1498112265.6461
MEM 415.339844 1498112265.7625
MEM 415.339844 1498112265.8803
MEM 415.339844 1498112265.9919
MEM 415.871094 1498112266.1070
MEM 415.871094 1498112266.2173
MEM 415.871094 1498112266.3320
MEM 415.894531 1498112266.4467
MEM 415.894531 1498112266.5608
MEM 415.902344 1498112266.6826
MEM 415.902344 1498112266.7972
MEM 416.820312 1498112266.9082
MEM 415.902344 1498112267.0254
MEM 415.902344 1498112267.1367
MEM 415.902344 1498112267.2476
MEM 415.902344 1498112267.3620
MEM 415.902344 1498112267.4725
MEM 415.902344 1498112267.5871
MEM 415.902344 1498112267.6988
MEM 415.902344 1498112267.8099
MEM 415.902344 1498112267.9243
MEM 415.902344 1498112268.0359
MEM 415.902344 1498112268.1505
MEM 415.902344 1498112268.2646
MEM 415.902344 1498112268.3789
MEM 415.902344 1498112268.4892
MEM 415.902344 1498112268.5996
MEM 415.902344 1498112268.7121
MEM 415.902344 1498112268.8264
MEM 415.902344 1498112268.9408
MEM 415.902344 1498112269.0542
MEM 415.902344 1498112269.1660
MEM 415.902344 1498112269.2758
MEM 415.902344 1498112269.3851
MEM 415.902344 1498112269.4995
MEM 415.910156 1498112269.6138
MEM 415.910156 1498112269.7267
MEM 415.910156 1498112269.8408
MEM 415.910156 1498112269.9535
MEM 417.085938 1498112270.0644
MEM 415.910156 1498112270.1741
MEM 415.910156 1498112270.2886
MEM 415.910156 1498112270.4011
MEM 415.914062 1498112270.5155
MEM 415.914062 1498112270.6298
MEM 415.914062 1498112270.7410
MEM 415.914062 1498112270.8536
MEM 415.914062 1498112270.9656
MEM 415.914062 1498112271.0781
MEM 415.914062 1498112271.1912
MEM 415.914062 1498112271.3025
MEM 416.179688 1498112271.4166
MEM 416.179688 1498112271.5314
MEM 416.179688 1498112271.6454
MEM 416.183594 1498112271.7571
MEM 416.183594 1498112271.8702
MEM 416.183594 1498112271.9823
MEM 416.183594 1498112272.0965
MEM 416.183594 1498112272.2095
MEM 417.140625 1498112272.3221
MEM 416.183594 1498112272.4361
MEM 416.183594 1498112272.5504
MEM 416.183594 1498112272.6645
MEM 416.191406 1498112272.7760
MEM 416.191406 1498112272.8905
MEM 416.191406 1498112273.0032
MEM 416.191406 1498112273.1156
MEM 416.191406 1498112273.2285
MEM 416.191406 1498112273.3422
MEM 416.191406 1498112273.4555
MEM 416.191406 1498112273.5761
MEM 416.191406 1498112273.7039
MEM 416.191406 1498112273.8149
MEM 416.191406 1498112273.9264
MEM 416.191406 1498112274.0514
MEM 416.191406 1498112274.1639
MEM 416.191406 1498112274.2844
MEM 416.191406 1498112274.4049
MEM 416.191406 1498112274.5241
MEM 416.191406 1498112274.6391
MEM 416.191406 1498112274.7634
MEM 416.191406 1498112274.8887
MEM 416.191406 1498112275.0042
MEM 416.191406 1498112275.1195
MEM 416.191406 1498112275.2435
MEM 416.191406 1498112275.3621
MEM 416.191406 1498112275.4818
MEM 416.191406 1498112275.6024
MEM 416.191406 1498112275.7206
MEM 416.191406 1498112275.8385
MEM 416.195312 1498112275.9570
MEM 417.152344 1498112276.0770
MEM 416.195312 1498112276.1927
MEM 416.195312 1498112276.3148
MEM 416.195312 1498112276.4338
MEM 417.113281 1498112276.5498
MEM 416.195312 1498112276.6698
MEM 416.195312 1498112276.7855
MEM 416.214844 1498112276.9067
MEM 416.214844 1498112277.0285
MEM 416.214844 1498112277.1540
MEM 416.214844 1498112277.2715
MEM 416.214844 1498112277.3920
MEM 416.214844 1498112277.5146
MEM 416.214844 1498112277.6340
MEM 416.214844 1498112277.7535
MEM 416.214844 1498112277.8722
MEM 416.214844 1498112277.9903
MEM 416.214844 1498112278.1077
MEM 416.214844 1498112278.2298
MEM 416.214844 1498112278.3523
MEM 416.214844 1498112278.4717
MEM 416.234375 1498112278.5896
MEM 416.242188 1498112278.7075
MEM 417.417969 1498112278.8192
MEM 416.242188 1498112278.9357
MEM 416.242188 1498112279.0461
MEM 416.242188 1498112279.1627
MEM 416.507812 1498112279.2854
MEM 419.937500 1498112279.4001
MEM 416.507812 1498112279.5148
MEM 416.527344 1498112279.6285
MEM 416.527344 1498112279.7445
MEM 416.527344 1498112279.8613
MEM 416.527344 1498112279.9768
MEM 416.527344 1498112280.0922
MEM 417.703125 1498112280.2130
MEM 416.562500 1498112280.3339
MEM 416.562500 1498112280.4493
MEM 416.562500 1498112280.5678
MEM 416.562500 1498112280.6835
MEM 416.562500 1498112280.8008
MEM 416.562500 1498112280.9183
MEM 416.562500 1498112281.0377
MEM 416.562500 1498112281.1521
MEM 416.562500 1498112281.2702
MEM 416.773438 1498112281.3873
MEM 416.562500 1498112281.5036
MEM 416.562500 1498112281.6234
MEM 416.562500 1498112281.7455
MEM 416.562500 1498112281.8661
MEM 416.562500 1498112281.9790
MEM 416.562500 1498112282.0930
MEM 416.562500 1498112282.2100
MEM 416.585938 1498112282.3245
MEM 416.585938 1498112282.4354
MEM 416.585938 1498112282.5506
MEM 416.585938 1498112282.6643
MEM 416.585938 1498112282.7854
MEM 416.597656 1498112282.8996
MEM 416.597656 1498112283.0154
MEM 416.597656 1498112283.1360
MEM 416.597656 1498112283.2522
MEM 416.605469 1498112283.3687
MEM 417.781250 1498112283.4809
MEM 416.605469 1498112283.5960
MEM 416.605469 1498112283.7095
MEM 416.605469 1498112283.8262
MEM 416.605469 1498112283.9428
MEM 417.562500 1498112284.0600
MEM 416.605469 1498112284.1781
MEM 416.605469 1498112284.2907
MEM 416.605469 1498112284.4036
MEM 416.617188 1498112284.5247
MEM 416.617188 1498112284.6407
MEM 416.617188 1498112284.7593
MEM 416.617188 1498112284.8743
MEM 416.882812 1498112284.9887
MEM 416.917969 1498112285.1044
MEM 416.917969 1498112285.2202
MEM 416.917969 1498112285.3392
MEM 417.878906 1498112285.4558
MEM 416.921875 1498112285.5701
MEM 416.925781 1498112285.6890
MEM 416.925781 1498112285.8045
MEM 416.925781 1498112285.9201
MEM 416.925781 1498112286.0403
MEM 416.925781 1498112286.1598
MEM 416.925781 1498112286.2750
MEM 416.925781 1498112286.3877
MEM 416.925781 1498112286.5091
MEM 416.925781 1498112286.6303
MEM 416.925781 1498112286.7506
MEM 416.925781 1498112286.8687
MEM 416.925781 1498112286.9812
MEM 416.925781 1498112287.0993
MEM 416.925781 1498112287.2126
MEM 416.925781 1498112287.3359
MEM 416.925781 1498112287.4602
MEM 416.925781 1498112287.5713
MEM 416.925781 1498112287.6846
MEM 416.925781 1498112287.8042
MEM 416.925781 1498112287.9247
MEM 417.023438 1498112288.0449
MEM 417.023438 1498112288.1650
MEM 418.199219 1498112288.2849
MEM 417.023438 1498112288.4031
MEM 417.023438 1498112288.5207
MEM 417.023438 1498112288.6404
MEM 417.023438 1498112288.7582
MEM 417.023438 1498112288.8743
MEM 417.023438 1498112288.9914
MEM 417.023438 1498112289.1040
MEM 417.023438 1498112289.2211
MEM 417.980469 1498112289.3391
MEM 417.023438 1498112289.4609
MEM 417.023438 1498112289.5744
MEM 417.941406 1498112289.6906
MEM 417.023438 1498112289.8054
MEM 417.023438 1498112289.9274
MEM 417.023438 1498112290.0470
MEM 417.941406 1498112290.1666
MEM 417.023438 1498112290.2888
MEM 417.023438 1498112290.4036
MEM 418.199219 1498112290.5177
MEM 418.199219 1498112290.6343
MEM 417.023438 1498112290.7515
MEM 417.023438 1498112290.8651
MEM 417.289062 1498112290.9791
MEM 417.289062 1498112291.0984
MEM 417.289062 1498112291.2185
MEM 417.289062 1498112291.3401
MEM 417.289062 1498112291.4621
MEM 417.289062 1498112291.5859
MEM 418.019531 1498112291.7056
MEM 417.289062 1498112291.8303
MEM 417.312500 1498112291.9406
MEM 417.312500 1498112292.0603
MEM 417.312500 1498112292.1861
MEM 417.312500 1498112292.3029
MEM 417.312500 1498112292.4237
MEM 417.312500 1498112292.5368
MEM 417.312500 1498112292.6638
MEM 417.312500 1498112292.7820
MEM 417.312500 1498112292.8966
MEM 417.406250 1498112293.0149
MEM 417.406250 1498112293.1298
MEM 418.363281 1498112293.2435
MEM 417.429688 1498112293.3609
MEM 417.429688 1498112293.4748
MEM 417.429688 1498112293.5902
MEM 417.437500 1498112293.7043
MEM 417.437500 1498112293.8182
MEM 417.437500 1498112293.9353
MEM 418.363281 1498112294.0531
MEM 417.445312 1498112294.1759
MEM 418.414062 1498112294.2937
MEM 418.414062 1498112294.4148
MEM 418.414062 1498112294.5300
MEM 417.457031 1498112294.6454
MEM 417.457031 1498112294.7700
MEM 417.457031 1498112294.8853
MEM 417.457031 1498112295.0056
MEM 417.457031 1498112295.1155
MEM 417.457031 1498112295.2517
MEM 417.457031 1498112295.3839
MEM 417.457031 1498112295.4989
MEM 417.457031 1498112295.6254
MEM 417.457031 1498112295.7430
MEM 417.457031 1498112295.8574
MEM 417.457031 1498112295.9785
MEM 417.457031 1498112296.0949
MEM 417.457031 1498112296.2308
MEM 417.457031 1498112296.3549
MEM 417.457031 1498112296.4733
MEM 417.457031 1498112296.5894
MEM 417.457031 1498112296.7063
MEM 417.457031 1498112296.8225
MEM 417.457031 1498112296.9428
MEM 417.457031 1498112297.0679
MEM 417.457031 1498112297.1895
MEM 417.457031 1498112297.3093
MEM 417.457031 1498112297.4270
MEM 417.457031 1498112297.5380
MEM 417.457031 1498112297.6585
MEM 417.457031 1498112297.7746
MEM 417.722656 1498112297.8951
MEM 417.722656 1498112298.0096
MEM 417.722656 1498112298.1242
MEM 417.726562 1498112298.2423
MEM 417.734375 1498112298.3615
MEM 417.734375 1498112298.4747
MEM 417.734375 1498112298.5916
MEM 417.734375 1498112298.7083
MEM 417.734375 1498112298.8258
MEM 417.734375 1498112298.9416
MEM 417.734375 1498112299.0536
MEM 417.734375 1498112299.1665
MEM 417.734375 1498112299.2776
MEM 417.734375 1498112299.3917
MEM 417.734375 1498112299.5101
MEM 417.734375 1498112299.6243
MEM 417.734375 1498112299.7391
MEM 417.734375 1498112299.8564
MEM 417.734375 1498112299.9684
MEM 417.757812 1498112300.0839
MEM 417.757812 1498112300.1988
MEM 418.714844 1498112300.3161
MEM 417.871094 1498112300.4353
MEM 417.871094 1498112300.5537
MEM 417.871094 1498112300.6769
MEM 417.871094 1498112300.7953
MEM 417.871094 1498112300.9119
MEM 417.875000 1498112301.0254
MEM 417.875000 1498112301.1392
MEM 417.875000 1498112301.2521
MEM 417.875000 1498112301.3669
MEM 417.875000 1498112301.4823
MEM 417.875000 1498112301.5971
MEM 417.875000 1498112301.7188
MEM 417.875000 1498112301.8365
MEM 417.875000 1498112301.9540
MEM 417.875000 1498112302.0727
MEM 417.875000 1498112302.1872
MEM 417.875000 1498112302.3096
MEM 417.875000 1498112302.4284
MEM 417.875000 1498112302.5410
MEM 417.875000 1498112302.6570
MEM 417.875000 1498112302.7673
MEM 417.878906 1498112302.8848
MEM 417.878906 1498112303.0011
MEM 417.878906 1498112303.1165
MEM 417.878906 1498112303.2344
MEM 417.878906 1498112303.3527
MEM 417.878906 1498112303.4701
MEM 417.878906 1498112303.5852
MEM 417.878906 1498112303.7023
MEM 417.886719 1498112303.8194
MEM 417.886719 1498112303.9369
MEM 417.886719 1498112304.0527
MEM 423.082031 1498112304.1659
MEM 423.375000 1498112304.2792
MEM 423.375000 1498112304.3957
MEM 423.382812 1498112304.5079
MEM 423.382812 1498112304.6224
MEM 423.386719 1498112304.7437
MEM 423.386719 1498112304.8607
MEM 423.386719 1498112304.9794
MEM 423.386719 1498112305.0982
MEM 423.386719 1498112305.2131
MEM 419.937500 1498112305.3361
MEM 419.734375 1498112305.4528
MEM 419.734375 1498112305.5671
MEM 419.578125 1498112305.6811
MEM 419.597656 1498112305.7973
MEM 419.597656 1498112305.9079
MEM 420.589844 1498112306.0241
MEM 420.589844 1498112306.1396
MEM 420.589844 1498112306.2520
MEM 420.589844 1498112306.3662
MEM 420.589844 1498112306.4815
MEM 421.078125 1498112306.5988
MEM 421.078125 1498112306.7164
MEM 421.078125 1498112306.8313
MEM 421.078125 1498112306.9444
MEM 421.078125 1498112307.0596
MEM 421.078125 1498112307.1738
MEM 422.417969 1498112307.2943
MEM 422.417969 1498112307.4121
MEM 422.421875 1498112307.5262
MEM 422.445312 1498112307.6421
MEM 423.179688 1498112307.7559
MEM 424.140625 1498112307.8671
MEM 424.140625 1498112307.9849
MEM 423.187500 1498112308.0992
MEM 423.187500 1498112308.2141
MEM 423.187500 1498112308.3341
MEM 423.187500 1498112308.4491
MEM 423.277344 1498112308.5632
MEM 423.277344 1498112308.6786
MEM 423.277344 1498112308.7975
MEM 423.277344 1498112308.9107
MEM 423.277344 1498112309.0249
MEM 423.277344 1498112309.1428
MEM 424.214844 1498112309.2577
MEM 423.281250 1498112309.3698
MEM 423.281250 1498112309.4859
MEM 423.281250 1498112309.6062
MEM 423.281250 1498112309.7195
MEM 423.281250 1498112309.8388
MEM 423.281250 1498112309.9565
MEM 423.160156 1498112310.0724
MEM 423.160156 1498112310.1889
MEM 423.160156 1498112310.3118
MEM 423.160156 1498112310.4298
MEM 423.277344 1498112310.5452
MEM 423.316406 1498112310.6643
MEM 423.285156 1498112310.7830
MEM 423.285156 1498112310.9063
MEM 423.285156 1498112311.0257
MEM 423.285156 1498112311.1410
MEM 423.285156 1498112311.2567
MEM 423.285156 1498112311.3749
MEM 423.285156 1498112311.4910
MEM 423.285156 1498112311.6051
MEM 423.285156 1498112311.7193
MEM 423.285156 1498112311.8347
MEM 423.285156 1498112311.9526
MEM 423.285156 1498112312.0668
MEM 423.285156 1498112312.1840
MEM 423.550781 1498112312.3051
MEM 423.550781 1498112312.4261
MEM 423.550781 1498112312.5438
MEM 423.550781 1498112312.6608
MEM 423.550781 1498112312.7773
MEM 423.550781 1498112312.8959
MEM 423.550781 1498112313.0174
MEM 423.550781 1498112313.1345
MEM 423.550781 1498112313.2503
MEM 423.550781 1498112313.3675
MEM 423.550781 1498112313.4927
MEM 423.558594 1498112313.6604
MEM 423.558594 1498112313.7934
MEM 423.558594 1498112313.9070
MEM 423.558594 1498112314.0328
MEM 423.558594 1498112314.1471
MEM 423.558594 1498112314.2695
MEM 423.558594 1498112314.3939
MEM 423.558594 1498112314.5129
MEM 423.558594 1498112314.6352
MEM 423.558594 1498112314.7508
MEM 423.558594 1498112314.8750
MEM 423.558594 1498112315.0016
MEM 423.558594 1498112315.1187
MEM 423.558594 1498112315.2346
MEM 423.558594 1498112315.3500
MEM 423.558594 1498112315.4699
MEM 423.558594 1498112315.5914
MEM 423.562500 1498112315.7123
MEM 423.562500 1498112315.8324
MEM 423.562500 1498112315.9549
MEM 423.562500 1498112316.0754
MEM 423.562500 1498112316.1910
MEM 423.562500 1498112316.3078
MEM 423.562500 1498112316.4350
MEM 423.562500 1498112316.5559
MEM 423.562500 1498112316.6805
MEM 423.562500 1498112316.8015
MEM 423.562500 1498112316.9225
MEM 424.519531 1498112317.0461
MEM 423.562500 1498112317.1684
MEM 423.562500 1498112317.2936
MEM 423.562500 1498112317.4147
MEM 423.562500 1498112317.5328
MEM 423.562500 1498112317.6870
MEM 423.562500 1498112317.8049
MEM 423.562500 1498112317.9258
MEM 423.562500 1498112318.0453
MEM 423.562500 1498112318.1620
